3,524000
3,633000
3,632000
3,602000
3,600000
3,598000
3,466000
3,657000
3,629000
3,622000
3,647000
3,624000
3,596000
3,610000
3,456000
3,633000
3,618000
3,627000
3,638000
3,605000
3,646000
3,629000
3,618000
3,596000
3,610000
3,605000
3,574000
3,597000
3,628000
3,602000
p 
4,387000
4,507000
4,589000
4,547000
4,531000
4,537000
4,571000
4,596000
4,550000
4,616000
4,529000
4,536000
4,521000
4,503000
4,517000
4,522000
4,502000
4,514000
4,523000
4,528000
4,523000
4,584000
4,521000
4,555000
4,513000
4,541000
4,514000
4,522000
4,566000
4,535000
r 
3,334000
3,329000
3,335000
3,313000
3,340000
3,327000
3,328000
3,325000
3,329000
3,323000
3,340000
3,336000
3,327000
3,464000
3,364000
3,413000
3,392000
3,415000
3,349000
3,370000
3,358000
3,345000
3,330000
3,319000
3,336000
3,353000
3,341000
3,341000
3,316000
3,333000
